,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
35,683.5955707073211,6.0273766152875625,3.0845839977264404,0.05511664282670318,26,,2,461,"{'max_depth': 26, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 461}",-0.7576124892955617,-0.7750979384718715,-0.7532569922181498,-0.7628235721632876,-0.771775059903998,-0.7641132104105737,0.008260123528205746,1,-0.35630365752184734,-0.3520492467595215,-0.3556557623479038,-0.3537847257721622,-0.35108968433436627,-0.3537766153471602,0.002006021031151951
80,668.6372129440308,1.6643832455374399,3.057752275466919,0.05031618968922822,38,,2,453,"{'max_depth': 38, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 453}",-0.7575384762670108,-0.7751619319556459,-0.7536020189951016,-0.7628792675744637,-0.771804221346736,-0.7641971832277916,0.008202749889940155,2,-0.3532226715786304,-0.34848445612317264,-0.352489123618118,-0.35012740871567977,-0.34794658356294605,-0.35045404871970937,0.0021014362982503146
130,623.0214271068573,1.2634726174082458,3.022848892211914,0.28557131984438544,28,,2,423,"{'max_depth': 28, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 423}",-0.7579493484619839,-0.77500072270095,-0.7532085007515081,-0.7630509629454911,-0.7719018118542573,-0.7642222693428381,0.008211881923347139,3,-0.3544405698371594,-0.34977318178103894,-0.3537036418403634,-0.35156887431277006,-0.34915897752881914,-0.35172904906003016,0.002083636341167879
122,550.8784636497497,2.734942369793857,2.5090301036834717,0.018810887030291993,26,,2,377,"{'max_depth': 26, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 377}",-0.7579425549866832,-0.7749707116612524,-0.7532632865099518,-0.763151294050745,-0.7721051929166839,-0.7642866080250632,0.008225933432941096,4,-0.3567627950289151,-0.3521951005165461,-0.3559648480071599,-0.3540028871694695,-0.3514351876429665,-0.35407216367301136,0.002064149170599699
98,518.7308118343353,1.6153887997080374,2.34711332321167,0.033494312687311956,29,,2,351,"{'max_depth': 29, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 351}",-0.7577285404024451,-0.7753025428364096,-0.7533288967755177,-0.7629357247873719,-0.772163126381739,-0.7642917662366967,0.008346194347704488,5,-0.3543641482885738,-0.3494332568652124,-0.35363507246794285,-0.3513419723777265,-0.34908492593695045,-0.3515718751872812,0.002138458898093764
179,535.6087072372436,5.095160401251765,2.464661741256714,0.050144292437242895,43,,2,360,"{'max_depth': 43, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 360}",-0.7576531902406043,-0.7753788115799006,-0.7534829914823804,-0.7630698702186227,-0.7720633518113051,-0.7643296430665627,0.008315122083757316,6,-0.3536301656758987,-0.34854757967219735,-0.35280979169121657,-0.3503751809518375,-0.3483980383850763,-0.35075215127524534,0.0021476005703650854
77,532.6358562946319,3.7802907025382395,2.423222017288208,0.02329930617366733,47,,2,360,"{'max_depth': 47, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 360}",-0.7576670609481031,-0.7753770095190338,-0.7534869252694062,-0.7630585363525869,-0.7720696098523188,-0.7643318283882896,0.008312900931611555,7,-0.353634074193841,-0.348545892335832,-0.3528071731610192,-0.35037382475733436,-0.34839715513007025,-0.35075162391561937,0.002148734956893535
7,474.48371663093565,3.7262153901751054,2.2020273208618164,0.032125130300826095,31,,2,318,"{'max_depth': 31, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 318}",-0.7578283219491013,-0.7752807431293502,-0.7533102679901482,-0.7630508871939157,-0.7721997779027963,-0.7643339996330623,0.008333001139519989,8,-0.35400026513570887,-0.3488755563858982,-0.3533410303588744,-0.3510279197038141,-0.34872735504423785,-0.35119442532570666,0.0021896101599897244
43,576.7676564693451,6.454717068091892,2.657634210586548,0.05458409492180681,41,,2,386,"{'max_depth': 41, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 386}",-0.7577565019484516,-0.7752072905834441,-0.7534866076319641,-0.7632663026106049,-0.7721101918345408,-0.764365378921801,0.00825544746086478,9,-0.35355282210419475,-0.3486385628055015,-0.35266621686812744,-0.3501995430666307,-0.34822431606911314,-0.35065629218271355,0.0021271597137451637
91,562.0072065353394,4.47520205774409,2.5468345642089845,0.01812019685951418,44,,2,379,"{'max_depth': 44, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 379}",-0.7578249555389803,-0.7751640443684115,-0.7535371707026287,-0.7632848258192223,-0.7721578471434782,-0.7643937687145442,0.008228299129027804,10,-0.35363660586705764,-0.3486358892816025,-0.3527478282452142,-0.3502255103465803,-0.3482765459369229,-0.3507044759354755,0.0021529504153692553
96,649.2211788654328,5.511978168759683,2.8726284503936768,0.03654210585200743,24,,2,443,"{'max_depth': 24, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 443}",-0.757944613264715,-0.7756836586749017,-0.7537372076744785,-0.7631058031825522,-0.7716994525820421,-0.7644341470757379,0.00821753289566699,11,-0.36099580863120967,-0.35741107621592677,-0.36035940457012783,-0.35924873394295975,-0.3558608183476408,-0.35877516834157297,0.001898393811463937
128,399.4837369441986,2.6918659368995934,1.8501669883728027,0.026736794275299635,28,,2,270,"{'max_depth': 28, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 270}",-0.7582056305224263,-0.7753132773320877,-0.7534841777992174,-0.762985450429006,-0.7724947069815731,-0.7644966486128622,0.008295824690835021,12,-0.35520757841641887,-0.3502030003026947,-0.3544885051908938,-0.35277254295814686,-0.34989013540433933,-0.35251235245449875,0.002165467678851263
131,513.3779849529267,3.900856375029396,2.3069228649139406,0.035479823692835956,25,,2,346,"{'max_depth': 25, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 346}",-0.7579502616600566,-0.775566429414857,-0.7535027653617884,-0.7632225092117576,-0.7724618455415135,-0.7645407622379946,0.008382347658554237,13,-0.35857920503325963,-0.3542912410498118,-0.35791110566622136,-0.35644954599370066,-0.35338850814046824,-0.35612392117669234,0.002008466064617094
64,432.43673224449157,4.0372302182998405,1.9845706939697265,0.029480231439023688,42,,2,290,"{'max_depth': 42, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 290}",-0.7581564352733651,-0.775537353957709,-0.7537772942381329,-0.7630473412633968,-0.7725858134582755,-0.7646208476381758,0.008300096271889063,14,-0.35397884661390516,-0.34871324132004977,-0.3530385808869971,-0.3508211785201663,-0.3485551896726688,-0.35102140740275745,0.0022029701639442547
26,416.9829460144043,3.5264565704835262,1.897482442855835,0.026737118897946856,38,,2,281,"{'max_depth': 38, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 281}",-0.75823132641202,-0.7752780936312836,-0.7538373122076083,-0.7631277434418253,-0.772674579347837,-0.7646298110081149,0.008219234306451814,15,-0.35412028977828913,-0.34878969073964433,-0.35323029954612806,-0.35099602184282197,-0.34866493088372746,-0.35116024655812217,0.002232490994334489
190,374.32657914161683,2.8953797298807937,1.7162440776824952,0.01900031118436355,34,,2,252,"{'max_depth': 34, 'max_features': None, 'min_samples_leaf': 2, 'n_estimators': 252}",-0.7583049480370111,-0.7753526426404594,-0.7538339599901858,-0.7629624040928052,-0.7727212766391811,-0.7646350462799286,0.00824360763088302,16,-0.3541307814390575,-0.3491215881592091,-0.3535068062390169,-0.3514148085798059,-0.3488824109413121,-0.3514112790716803,0.0021644767583916882
